Section,Subsection,Name,Cost (MiB),Description
science,geometry,libgismo-dev,N/A,N/A
science,geometry,libmath-geometry-voronoi-perl,8,Perl module to compute Voronoi diagrams from sets of points
science,geometry,octave-geometry,ERROR,extension of MatGeom functionality in Octave
science,geometry,rubiks,1,Small collection of Rubik's cube solvers
science,geometry,salome-geom,N/A,N/A
science,highenergy-physics,cernlib,N/A,N/A
science,highenergy-physics,cernlib-base,N/A,N/A
science,highenergy-physics,cernlib-core,N/A,N/A
science,highenergy-physics,cernlib-extras,N/A,N/A
science,highenergy-physics,cernlib-montecarlo,N/A,N/A
science,highenergy-physics,dzedit,N/A,N/A
science,highenergy-physics,feynmf,160,set of LaTeX macros for creating Feynman diagrams
science,highenergy-physics,geant321,N/A,N/A
science,highenergy-physics,geant321-doc,N/A,N/A
science,highenergy-physics,geant4,N/A,N/A
science,highenergy-physics,herwig++,N/A,N/A
science,highenergy-physics,kuipc,N/A,N/A
science,highenergy-physics,kxterm,N/A,N/A
science,highenergy-physics,lhapdf-pdfsets-minimal,N/A,N/A
science,highenergy-physics,libroot-bindings-python5.34,N/A,N/A
science,highenergy-physics,libroot-bindings-ruby5.34,N/A,N/A
science,highenergy-physics,libroot-core5.34,N/A,N/A
science,highenergy-physics,libroot-geom5.34,N/A,N/A
science,highenergy-physics,libroot-graf2d-gpad5.34,N/A,N/A
science,highenergy-physics,libroot-graf2d-graf5.34,N/A,N/A
science,highenergy-physics,libroot-graf2d-postscript5.34,N/A,N/A
science,highenergy-physics,libroot-graf3d-eve5.34,N/A,N/A
science,highenergy-physics,libroot-graf3d-g3d5.34,N/A,N/A
science,highenergy-physics,libroot-graf3d-gl5.34,N/A,N/A
science,highenergy-physics,libroot-gui-ged5.34,N/A,N/A
science,highenergy-physics,libroot-gui5.34,N/A,N/A
science,highenergy-physics,libroot-hist-spectrum5.34,N/A,N/A
science,highenergy-physics,libroot-hist5.34,N/A,N/A
science,highenergy-physics,libroot-html5.34,N/A,N/A
science,highenergy-physics,libroot-io-xmlparser5.34,N/A,N/A
science,highenergy-physics,libroot-io5.34,N/A,N/A
science,highenergy-physics,libroot-math-foam5.34,N/A,N/A
science,highenergy-physics,libroot-math-genvector5.34,N/A,N/A
science,highenergy-physics,libroot-math-mathcore5.34,N/A,N/A
science,highenergy-physics,libroot-math-mathmore5.34,N/A,N/A
science,highenergy-physics,libroot-math-matrix5.34,N/A,N/A
science,highenergy-physics,libroot-math-minuit5.34,N/A,N/A
science,highenergy-physics,libroot-math-mlp5.34,N/A,N/A
science,highenergy-physics,libroot-math-physics5.34,N/A,N/A
science,highenergy-physics,libroot-math-quadp5.34,N/A,N/A
science,highenergy-physics,libroot-math-smatrix5.34,N/A,N/A
science,highenergy-physics,libroot-math-splot5.34,N/A,N/A
science,highenergy-physics,libroot-math-unuran5.34,N/A,N/A
science,highenergy-physics,libroot-misc-memstat5.34,N/A,N/A
science,highenergy-physics,libroot-misc-minicern5.34,N/A,N/A
science,highenergy-physics,libroot-misc-table5.34,N/A,N/A
science,highenergy-physics,libroot-montecarlo-eg5.34,N/A,N/A
science,highenergy-physics,libroot-montecarlo-vmc5.34,N/A,N/A
science,highenergy-physics,libroot-net-auth5.34,N/A,N/A
science,highenergy-physics,libroot-net-bonjour5.34,N/A,N/A
science,highenergy-physics,libroot-net-ldap5.34,N/A,N/A
science,highenergy-physics,libroot-net5.34,N/A,N/A
science,highenergy-physics,libroot-proof-clarens5.34,N/A,N/A
science,highenergy-physics,libroot-proof-proofplayer5.34,N/A,N/A
science,highenergy-physics,libroot-proof5.34,N/A,N/A
science,highenergy-physics,libroot-roofit5.34,N/A,N/A
science,highenergy-physics,libroot-tmva5.34,N/A,N/A
science,highenergy-physics,libroot-tree-treeplayer5.34,N/A,N/A
science,highenergy-physics,libroot-tree5.34,N/A,N/A
science,highenergy-physics,looptools,N/A,N/A
science,highenergy-physics,neuron,8,Simulation environment for computational models of neurons
science,highenergy-physics,nypatchy,N/A,N/A
science,highenergy-physics,octave-lhapdf,N/A,N/A
science,highenergy-physics,paw,N/A,N/A
science,highenergy-physics,paw++,N/A,N/A
science,highenergy-physics,paw-demos,N/A,N/A
science,highenergy-physics,pawserv,N/A,N/A
science,highenergy-physics,pythia8-root-interface,N/A,N/A
science,highenergy-physics,rivet,N/A,N/A
science,highenergy-physics,rivet-plugins,N/A,N/A
science,highenergy-physics,rivet-root-converter,N/A,N/A
science,highenergy-physics,root-macro-fastjet,N/A,N/A
science,highenergy-physics,root-plugin-geom-gdml,N/A,N/A
science,highenergy-physics,root-plugin-geom-geombuilder,N/A,N/A
science,highenergy-physics,root-plugin-geom-geompainter,N/A,N/A
science,highenergy-physics,root-plugin-graf2d-asimage,N/A,N/A
science,highenergy-physics,root-plugin-graf2d-qt,N/A,N/A
science,highenergy-physics,root-plugin-graf2d-x11,N/A,N/A
science,highenergy-physics,root-plugin-graf3d-x3d,N/A,N/A
science,highenergy-physics,root-plugin-gui-fitpanel,N/A,N/A
science,highenergy-physics,root-plugin-gui-guibuilder,N/A,N/A
science,highenergy-physics,root-plugin-gui-qt,N/A,N/A
science,highenergy-physics,root-plugin-gui-sessionviewer,N/A,N/A
science,highenergy-physics,root-plugin-hist-hbook,N/A,N/A
science,highenergy-physics,root-plugin-hist-histpainter,N/A,N/A
science,highenergy-physics,root-plugin-hist-spectrumpainter,N/A,N/A
science,highenergy-physics,root-plugin-io-sql,N/A,N/A
science,highenergy-physics,root-plugin-io-xml,N/A,N/A
science,highenergy-physics,root-plugin-math-fftw3,N/A,N/A
science,highenergy-physics,root-plugin-math-fumili,N/A,N/A
science,highenergy-physics,root-plugin-math-minuit2,N/A,N/A
science,highenergy-physics,root-plugin-montecarlo-pythia8,N/A,N/A
science,highenergy-physics,root-plugin-net-globus,N/A,N/A
science,highenergy-physics,root-plugin-net-krb5,N/A,N/A
science,highenergy-physics,root-plugin-proof-peac,N/A,N/A
science,highenergy-physics,root-plugin-sql-mysql,N/A,N/A
science,highenergy-physics,root-plugin-sql-odbc,N/A,N/A
science,highenergy-physics,root-plugin-sql-pgsql,N/A,N/A
science,highenergy-physics,root-plugin-tree-treeviewer,N/A,N/A
science,highenergy-physics,root-system,N/A,N/A
science,highenergy-physics,root-system-bin,N/A,N/A
science,highenergy-physics,root-system-common,N/A,N/A
science,highenergy-physics,root-system-doc,N/A,N/A
science,highenergy-physics,root-system-proofd,N/A,N/A
science,highenergy-physics,root-system-rootd,N/A,N/A
science,highenergy-physics,thepeg,N/A,N/A
science,highenergy-physics,thepeg-gui,N/A,N/A
science,highenergy-physics,zftp,N/A,N/A
science,imageanalysis-dev,cimg-dev,93,powerful image processing library
science,imageanalysis-dev,lib3ds-dev,1,Autodesk 3D Studio file reader development files
science,imageanalysis-dev,libcv-dev,N/A,N/A
science,imageanalysis-dev,libfreeimage-dev,2,Support library for graphics image formats (development files)
science,imageanalysis-dev,libimglib2-java,1,multidimensional image processing library in Java
science,imageanalysis-dev,liblimereg-dev,N/A,N/A
science,imageanalysis-dev,libsimage-dev,16,generic interface to various image file format libraries. Development files.
science,imageanalysis-dev,libvigraimpex-dev,22,development files for the C++ computer vision library
science,imageanalysis-dev,libvisad-java,N/A,N/A
science,imageanalysis-dev,libvlfeat-dev,1,Computer vision library focussing on visual features and clustering
science,imageanalysis-dev,python3-imageio,14,library for reading and writing image data (Python 3)
science,imageanalysis-dev,python3-meshio,4,library for reading and writing mesh data (Python 3)
science,imageanalysis,gpiv,N/A,N/A
science,imageanalysis,gpivtools,N/A,N/A
science,imageanalysis,gwyddion,5,Scanning Probe Microscopy visualization and analysis tool
science,imageanalysis,limereg,N/A,N/A
science,imageanalysis,teem-apps,1,Tools to process and visualize scientific data and images - command line tools
science,linguistics,apertium,2,Shallow-transfer machine translation engine
science,linguistics,apertium-af-nl,10,Transitional dummy package for apertium-afr-nld
science,linguistics,apertium-apy,1,Apertium APY service
science,linguistics,apertium-arg,N/A,N/A
science,linguistics,apertium-arg-cat,13,Apertium translation data for the Aragonese-Catalan pair
science,linguistics,apertium-bel,N/A,N/A
science,linguistics,apertium-bel-rus,12,Apertium translation data for the Belarusian-Russian pair
science,linguistics,apertium-br-fr,11,Apertium linguistic data to translate between Breton and French
science,linguistics,apertium-ca-it,5,Transitional dummy package for apertium-cat-ita
science,linguistics,apertium-cat,N/A,N/A
science,linguistics,apertium-cat-srd,12,Apertium translation data for the Catalan-Sardinian pair
science,linguistics,apertium-crh,N/A,N/A
science,linguistics,apertium-crh-tur,12,Apertium translation data for the Crimean Tatar-Turkish pair
science,linguistics,apertium-cy-en,10,Apertium translation data for the Welsh-English pair
science,linguistics,apertium-dan,N/A,N/A
science,linguistics,apertium-dan-nor,15,Apertium translation data for the Danish-Norwegian pair
science,linguistics,apertium-en-ca,14,Transitional dummy package for apertium-eng-cat
science,linguistics,apertium-en-es,4,Apertium translation data for the English-Spanish pair
science,linguistics,apertium-en-gl,3,Apertium translation data for the English-Galician pair
science,linguistics,apertium-eo-ca,3,Apertium translation data for the Esperanto-Catalan pair
science,linguistics,apertium-eo-en,3,Apertium linguistic data to translate between Esperanto and English
science,linguistics,apertium-eo-es,10,Apertium translation data for the Esperanto-Spanish pair
science,linguistics,apertium-eo-fr,3,Apertium translation data for the Esperanto-French pair
science,linguistics,apertium-es-ast,3,Apertium translation data for the Spanish-Asturian pair
science,linguistics,apertium-es-ca,6,Transitional dummy package for apertium-spa-cat
science,linguistics,apertium-es-gl,3,Apertium translation data for the Spanish-Galician pair
science,linguistics,apertium-es-it,3,Transitional dummy package for apertium-spa-ita
science,linguistics,apertium-es-pt,2,Apertium translation data for the Spanish-Portuguese pair
science,linguistics,apertium-es-ro,3,Apertium translation data for the Spanish-Romanian pair
science,linguistics,apertium-eu-en,2,Apertium translation data for the Basque-English pair
science,linguistics,apertium-eu-es,3,Apertium translation data for the Basque-Spanish pair
science,linguistics,apertium-fr-ca,N/A,N/A
science,linguistics,apertium-fr-es,3,Apertium translation data for the French-Spanish pair
science,linguistics,apertium-fra,N/A,N/A
science,linguistics,apertium-fra-cat,13,Apertium translation data for the French-Catalan pair
science,linguistics,apertium-hbs,N/A,N/A
science,linguistics,apertium-hbs-eng,12,Apertium translation data for the Serbo-Croatian - English pair
science,linguistics,apertium-hbs-mkd,10,Apertium translation data for the Serbo-Croatian-Macedonian pair
science,linguistics,apertium-hbs-slv,11,Apertium translation data for the Serbo-Croatian-Slovenian pair
science,linguistics,apertium-hin,13,Apertium single language data for Hindi
science,linguistics,apertium-id-ms,9,Transitional dummy package for apertium-ind-zlm
science,linguistics,apertium-is-sv,10,Apertium translation data for the Icelandic-Swedish pair
science,linguistics,apertium-isl,13,Apertium single language data for Icelandic
science,linguistics,apertium-isl-eng,10,Apertium translation data for the Icelandic-English pair
science,linguistics,apertium-ita,11,Apertium single language data for Italian
science,linguistics,apertium-kaz,N/A,N/A
science,linguistics,apertium-kaz-tat,13,Apertium translation data for the Kazakh-Tatar pair
science,linguistics,apertium-lex-tools,1,Constraint-based lexical selection module
science,linguistics,apertium-mk-bg,9,Apertium translation data for the Macedonian-Bulgarian pair
science,linguistics,apertium-mk-en,10,Apertium translation data for the Macedonian-English pair
science,linguistics,apertium-mlt-ara,10,Apertium translation data for the Maltese-Arabic pair
science,linguistics,apertium-nno,N/A,N/A
science,linguistics,apertium-nno-nob,14,Apertium translation data for the Norwegian Nynorsk-Norwegian Bokmål pair
science,linguistics,apertium-nob,N/A,N/A
science,linguistics,apertium-oc-ca,3,Apertium translation data for the Occitan-Catalan pair
science,linguistics,apertium-oc-es,3,Apertium translation data for the Occitan-Spanish pair
science,linguistics,apertium-oci,N/A,N/A
science,linguistics,apertium-pol,N/A,N/A
science,linguistics,apertium-pt-ca,14,Transitional dummy package for apertium-por-cat
science,linguistics,apertium-pt-gl,2,Apertium translation data for the Portuguese-Galician pair
science,linguistics,apertium-rus,N/A,N/A
science,linguistics,apertium-separable,1,Reordering separable/discontiguous multiwords
science,linguistics,apertium-sme-nob,26,Apertium translation data for the Northern Sami-Norwegian Bokmål pair
science,linguistics,apertium-spa,12,Apertium single language data for Spanish
science,linguistics,apertium-spa-arg,11,Apertium translation data for the Spanish-Aragonese pair
science,linguistics,apertium-srd,N/A,N/A
science,linguistics,apertium-srd-ita,11,Apertium translation data for the Sardinian-Italian pair
science,linguistics,apertium-swe,N/A,N/A
science,linguistics,apertium-swe-dan,12,Apertium translation data for the Swedish-Danish pair
science,linguistics,apertium-swe-nor,18,Apertium translation data for the Swedish-Norwegian pair
science,linguistics,apertium-szl,N/A,N/A
science,linguistics,apertium-tat,N/A,N/A
science,linguistics,apertium-tur,N/A,N/A
science,linguistics,apertium-ukr,N/A,N/A
science,linguistics,apertium-urd,12,Apertium single language data for Urdu
science,linguistics,apertium-urd-hin,10,Apertium translation data for the Urdu-Hindi pair
science,linguistics,artha,7,Handy off-line thesaurus based on WordNet
science,linguistics,cg3,8,Tools for using the 3rd edition of Constraint Grammar (CG-3)
science,linguistics,collatinus,4,lemmatisation of latin text
science,linguistics,dimbl,1,Distributed Memory Based Learner
science,linguistics,frog,2,tagger and parser for natural languages (runtime)
science,linguistics,frogdata,31,Data files for Frog
science,linguistics,giella-sme,N/A,N/A
science,linguistics,hfst,3,Helsinki Finite-State Transducer Technology
science,linguistics,hfst-ospell,1,Spell checker library and tool based on HFST
science,linguistics,irstlm,8,IRST Language Modeling Toolkit
science,linguistics,libcg3-dev,1,Headers and shared files to develop using the CG-3 library
science,linguistics,libcld2-dev,6,"Compact Language Detector 2, development package"
science,linguistics,libfolia-dev,1,Implementation of the FoLiA document format (C++ headers)
science,linguistics,libmbt0-dev,N/A,N/A
science,linguistics,libticcutils2-dev,N/A,N/A
science,linguistics,libtimbl3-dev,N/A,N/A
science,linguistics,libtimbl4-dev,N/A,N/A
science,linguistics,libtimblserver2-dev,N/A,N/A
science,linguistics,libucto1-dev,N/A,N/A
science,linguistics,link-grammar,1,Carnegie Mellon University's link grammar parser
science,linguistics,lttoolbox,1,Apertium lexical processing modules and tools
science,linguistics,mbt,1,memory-based tagger-generator and tagger
science,linguistics,mbtserver,1,Server extensions for the MBT tagger
science,linguistics,python3-nltk,2,Python3 libraries for natural language processing
science,linguistics,python3-pynlpl,2,PyNLPl is a library for Natural Language Processing (Python 3 version)
science,linguistics,python3-snowballstemmer,1,Pure Python Snowball stemming library
science,linguistics,python3-streamparser,1,Python library to parse Apertium stream format
science,linguistics,python3-thinc,N/A,N/A
science,linguistics,python3-timbl,N/A,N/A
science,linguistics,r-cran-lexrankr,36,extractive summarization of text with the LexRank algorithm
science,linguistics,r-cran-nlp,ERROR,Natural Language Processing Infrastructure for R
science,linguistics,r-cran-snowballc,ERROR,Snowball stemmers based on the C libstemmer UTF-8 library
science,linguistics,r-cran-tm,52,Text Mining functionality for R
science,linguistics,sequitur-g2p,N/A,N/A
science,linguistics,spacy,N/A,N/A
science,linguistics,timbl,1,Tilburg Memory Based Learner
science,linguistics,timblserver,1,Server extensions for Timbl
science,linguistics,travatar,N/A,N/A
science,linguistics,ucto,1,Unicode Tokenizer
science,linguistics,uctodata,1,Data files for Ucto
science,linguistics,wnsqlbuilder,N/A,N/A
science,linguistics,wordnet,7,electronic lexical database of English language
science,logic,agda,230,dependently typed functional programming language
science,logic,alt-ergo,3,Automatic theorem prover dedicated to program verification
science,logic,boolector,1,SMT solver for bit-vectors and arrays
science,logic,clasp,1,conflict-driven nogood learning answer set solver
science,logic,coala,N/A,N/A
science,logic,coinor-cbc,1,Coin-or branch-and-cut mixed integer programming solver
science,logic,coinor-libcoinmp-dev,ERROR,Simple C API for COIN-OR Solvers Clp and Cbc -- development
science,logic,coinor-symphony,1,COIN-OR solver for mixed-integer linear programs
science,logic,coq,270,proof assistant for higher-order logic (toplevel and compiler)
science,logic,cvc3,N/A,N/A
science,logic,cvc4,7,automated theorem prover for SMT problems
science,logic,depqbf,1,solver for quantified boolean formulae
science,logic,gringo,2,grounding tools for (disjunctive) logic programs
science,logic,hol-light,150,HOL Light theorem prover
science,logic,hol88,7,"Higher Order Logic, system image"
science,logic,lbt,1,converts from LTL formulas to Büchi automata
science,logic,mace2,N/A,N/A
science,logic,maria,1,reachability analyzer for Algebraic System Nets
science,logic,matita,N/A,N/A
science,logic,maude,2,high-performance logical framework
science,logic,minisat+,1,solver for pseudo-Boolean constraints
science,logic,mona,1,theorem prover based on automata
science,logic,picosat,1,SAT solver with proof and core support
science,logic,proofgeneral,ERROR,generic frontend for proof assistants
science,logic,prover9,N/A,N/A
science,logic,sat4j,37,Efficient library of SAT solvers in Java
science,logic,spass,1,automated theorem prover for first-order logic with equality
science,logic,toulbar2,2,Exact combinatorial optimization for Graphical Models
science,logic,why,N/A,N/A
science,logic,why3,ERROR,Software verification platform
science,logic,z3,7,theorem prover from Microsoft Research
science,mathematics,4ti2,2,mathematical tool suite for problems on linear spaces -- tools
science,mathematics,agda,230,dependently typed functional programming language
science,mathematics,ann-tools,1,Approximate Nearest Neighbor Searching library (tools)
science,mathematics,auto-07p,3,software for continuation and bifurcation problems in ODE
science,mathematics,axiom,ERROR,General purpose computer algebra system: main binary and modules
science,mathematics,bliss,1,tool to compute graph automorphisms and labelings -- bin
science,mathematics,cliquer,1,clique searching program
science,mathematics,cohomcalg,1,sheaf cohomology of line bundles on toric varieties
science,mathematics,coinor-cbc,1,Coin-or branch-and-cut mixed integer programming solver
science,mathematics,coinor-csdp,1,Software package for semidefinite programming (binaries)
science,mathematics,coinor-symphony,1,COIN-OR solver for mixed-integer linear programs
science,mathematics,coq,270,proof assistant for higher-order logic (toplevel and compiler)
science,mathematics,cryptominisat,1,SAT solver command line interface
science,mathematics,eclib-tools,6,Programs for modular symbols and elliptic curves over Q
science,mathematics,eprover,N/A,N/A
science,mathematics,evolver-nox,4,Surface Evolver - with no X support
science,mathematics,evolver-ogl,4,Surface Evolver - with OpenGL display
science,mathematics,feel++-apps,N/A,N/A
science,mathematics,fenics,220,Automated Solution of Differential Equations
science,mathematics,flintqs,1,Program using quadratic sieve to factor integers
science,mathematics,form,8,Symbolic manipulation system
science,mathematics,fplll-tools,3,Tools to compute LLL-reduction of Euclidian lattices
science,mathematics,freefem,1,PDE oriented language using Finite Element Method
science,mathematics,freefem++,N/A,N/A
science,mathematics,freefem3d,N/A,N/A
science,mathematics,freemat,N/A,N/A
science,mathematics,frobby,1,Computations with monomial ideals
science,mathematics,gap,8,"computer algebra system for Groups, Algorithms and Programming"
science,mathematics,gap-character-tables,14,GAP Library of character tables
science,mathematics,gap-design,32,block designs for GAP
science,mathematics,gap-factint,13,advanced methods for factoring integers for GAP
science,mathematics,gap-float,11,multi-precision floating-point computation for GAP
science,mathematics,gap-gapdoc,1,GAPDoc - A Meta Package for GAP Documentation
science,mathematics,gap-grape,19,GRaph Algorithms using PErmutation groups for GAP
science,mathematics,gap-guava,9,coding theory library for GAP
science,mathematics,gap-io,8,low level C library IO bindings for GAP
science,mathematics,gap-laguna,12,LAGUNA GAP package
science,mathematics,gap-online-help,7,"GAP computer algebra system, online help"
science,mathematics,gap-openmath,8,OpenMath phrasebook for GAP
science,mathematics,gap-prim-groups,N/A,N/A
science,mathematics,gap-scscp,9,SCSCP protocol in GAP
science,mathematics,gap-small-groups,N/A,N/A
science,mathematics,gap-small-groups-extra,N/A,N/A
science,mathematics,gap-sonata,13,Systems Of Nearrings And Their Applications for GAP
science,mathematics,gap-table-of-marks,52,GAP TomLib - The GAP Library of Tables of Marks
science,mathematics,gap-toric,8,toric variety for GAP
science,mathematics,gap-trans-groups,N/A,N/A
science,mathematics,geneagrapher,2,Create tree from Mathematics Genealogy Project
science,mathematics,geogebra,59,Dynamic mathematics software for education
science,mathematics,geomview,6,interactive geometry viewing program
science,mathematics,gerris,ERROR,Fluid Flow Solver
science,mathematics,getdp,26,general environment for the treatment of discrete problems
science,mathematics,gfan,3,program for computing with Groebner fans
science,mathematics,ginac-tools,2,GiNaC symbolic framework support tools
science,mathematics,gmp-ecm,1,Factor integers using the Elliptic Curve Method
science,mathematics,gmsh,28,Three-dimensional finite element mesh generator
science,mathematics,graphviz,3,rich set of graph drawing tools
science,mathematics,hol-light,150,HOL Light theorem prover
science,mathematics,isabelle,N/A,N/A
science,mathematics,julia,50,high-performance programming language for technical computing
science,mathematics,kseg,N/A,N/A
science,mathematics,lcalc,4,program for calculating with L-functions
science,mathematics,libmatheval1,1,GNU library for evaluating symbolic mathematical expressions (runtime)
science,mathematics,lp-solve,0,Solve (mixed integer) linear programming problems
science,mathematics,lrcalc,1,programs for calculating Littlewood-Richardson coefficients
science,mathematics,lrslib,1,package to enumerate vertices and extreme rays of a convex polyhedron
science,mathematics,macaulay2,36,Software system for algebraic geometry research
science,mathematics,magnus,1,Very simple screen magnifier
science,mathematics,mathicgb,1,Compute Groebner bases (command line tool)
science,mathematics,mathomatic,1,portable Computer Algebra System (CAS)
science,mathematics,matita,N/A,N/A
science,mathematics,matlab-support,ERROR,distro integration for local MATLAB installations
science,mathematics,maxima-sage,44,Computer algebra system -- base system
science,mathematics,mcl,1,Markov Cluster algorithm
science,mathematics,minisat,1,Fast and lightweight SAT solver
science,mathematics,model-builder,N/A,N/A
science,mathematics,mumps-test,10,Example/test binaries using MUMPS
science,mathematics,nauty,1,library for graph automorphisms -- interface and tools
science,mathematics,netgen,30,Automatic 3d tetrahedral mesh generator
science,mathematics,netgen-doc,1,Automatic 3d tetrahedral mesh generator documentation
science,mathematics,normaliz,5,"math computing tools for affine monoids, rational polytopes and cones"
science,mathematics,octave,ERROR,GNU Octave language for numerical computations
science,mathematics,octaviz,N/A,N/A
science,mathematics,palp,1,Package for Analyzing Lattice Polytopes
science,mathematics,pari-extra,N/A,N/A
science,mathematics,pari-gp,4,PARI/GP Computer Algebra System binaries
science,mathematics,planarity,1,Program for planarity-related graph algorithms
science,mathematics,polylib-utils,1,Various tools using libpolylib
science,mathematics,primesieve,1,fast prime number generator C/C++ library
science,mathematics,proofgeneral,ERROR,generic frontend for proof assistants
science,mathematics,proofgeneral-coq,N/A,N/A
science,mathematics,prover9,N/A,N/A
science,mathematics,pyomo,N/A,N/A
science,mathematics,python3-deap,3,Distributed Evolutionary Algorithms in Python3
science,mathematics,python3-dolfin,190,Base Python interface for DOLFIN (Python 3)
science,mathematics,python3-ffc,15,compiler for finite element variational forms (Python 3)
science,mathematics,python3-minieigen,2,Wrapper of parts of the Eigen library (Python 3)
science,mathematics,python3-openturns,N/A,N/A
science,mathematics,python3-sagenb-export,5,Convert SageNB Notebooks (Python 3)
science,mathematics,python3-ufl,3,unified language for form-compilers (Python 3)
science,mathematics,qepcad,N/A,N/A
science,mathematics,qhull-bin,1,calculate convex hulls and related structures (utilities)
science,mathematics,qsopt-ex,1,Exact linear programming solver
science,mathematics,r-cran-evd,ERROR,GNU R Functions for extreme value distributions
science,mathematics,regina-normal,23,mathematical software for low-dimensional topology
science,mathematics,rheolef,160,efficient Finite Element environment
science,mathematics,rubiks,1,Small collection of Rubik's cube solvers
science,mathematics,sagemath,480,Open Source Mathematical Software
science,mathematics,sagemath-database-conway-polynomials,1,Database of Conway polynomials
science,mathematics,sagemath-database-elliptic-curves,3,Databases for elliptic curves
science,mathematics,sagemath-database-graphs,1,Databases of graphs
science,mathematics,sagemath-database-mutually-combinatorial-designs,1,Databases of combinatorial designs
science,mathematics,sagemath-database-polytopes,1,Databases of polytopes
science,mathematics,sagetex,560,Embed Sage code and plots into LaTeX
science,mathematics,science-statistics,1,Debian Science Statistics packages
science,mathematics,scilab,160,Scientific software package for numerical computations
science,mathematics,scilab-ann,N/A,N/A
science,mathematics,scilab-scimax,N/A,N/A
science,mathematics,scotch,1,"programs and libraries for graph, mesh and hypergraph partitioning"
science,mathematics,singular,10,Computer Algebra System for Polynomial Computations
science,mathematics,snappea,N/A,N/A
science,mathematics,surf-alggeo,1,visualization of real algebraic geometry
science,mathematics,sympow,12,mathematical program for SYMmetric POWer elliptic curve L-functions -- program
science,mathematics,tachyon,1,Parallel/Multiprocessor Standalone Ray Tracer - metapackage
science,mathematics,tetgen,1,Quality Tetrahedral Mesh Generator
science,mathematics,topcom,2,Triangulations Of Point Configurations and Oriented Matroids
science,mathematics,toulbar2,2,Exact combinatorial optimization for Graphical Models
science,mathematics,wxmaxima,16,GUI for the computer algebra system Maxima
science,mathematics,xcas,21,Computer Algebra System - console and graphical calculator
science,mathematics,xmaxima,24,Computer algebra system -- x interface
science,mathematics,xmds,N/A,N/A
science,mathematics,xmds2,97,eXtensible Multi-Dimensional Simulator
science,meteorology,cdftools,5,Diagnostic tools for NEMO netCDF output
science,meteorology,cdo,63,Climate Data Operators
science,meteorology,cmor-tables,1,MIP tables for the Climate Model Output Rewriter library
science,meteorology,coda,2,Common Data Access framework for Earth science
science,meteorology,cylc,N/A,N/A
science,meteorology,dballe,N/A,N/A
science,meteorology,ecaccess,56,clients to access ECMWF facilities
science,meteorology,fcm,27,Flexible Configuration Manager
science,meteorology,ferret-vis,ERROR,Interactive data visualization and analysis environment
science,meteorology,flexpart,4,Particle Dispersion model for tracing air transport phenomena
science,meteorology,flextra,3,Trajectory model for tracing air transport phenomena
science,meteorology,geonetwork,N/A,N/A
science,meteorology,gerris,ERROR,Fluid Flow Solver
science,meteorology,gnudatalanguage,28,Free IDL compatible incremental compiler
science,meteorology,grads,16,Grid Analysis and Display System for earth science data
science,meteorology,gwyddion,5,Scanning Probe Microscopy visualization and analysis tool
science,meteorology,harp,8,Data harmonization toolset for Earth Observation formats
science,meteorology,libdap-bin,1,Binaries for the  libdap Data Access Protocol library
science,meteorology,libdap-doc,8,Documentation for the libdap Data Access Protocol library
science,meteorology,libeccodes-tools,5,GRIB decoding/encoding software (utilities)
science,meteorology,libemos-bin,20,ECMWF Interpolation Library - binaries
science,meteorology,magics++,66,Executables for the magics++ library
science,meteorology,makedepf90,1,Fortran-90 dependency processor for Makefiles
science,meteorology,metview,110,"Interactive data visualization and analysis environment,"
science,meteorology,ncl-ncarg,61,NCAR Command Language and NCAR graphics
science,meteorology,nco,5,Command-line operators to analyze netCDF files
science,meteorology,ncview,3,X11 visual browser for NetCDF format files
science,meteorology,octave-octcdf,N/A,N/A
science,meteorology,paraview,110,Parallel Visualization Application
science,meteorology,python-cfgrib,N/A,N/A
science,meteorology,python3-cdo,ERROR,Python3 module for Climate Data Operators
science,meteorology,python3-cmor,5,Python3 interface to CMOR
science,meteorology,python3-drslib,2,Library for processing the CMIP5 Data Reference Syntax (Python3)
science,meteorology,python3-eccodes,ERROR,Python 3 module Python interface to the ecCodes BUFR and GRIB de/encoder
science,meteorology,python3-ferret,ERROR,"Python3 wrapper for the Ferret visualization and analysis environment,"
science,meteorology,python3-grib,59,Python 3 module for reading and writing GRIB files
science,meteorology,python3-gsw,5,Python 3 implementation of the Thermodynamic Equation of Seawater
science,meteorology,python3-iapws,15,Python3 implementation of the international APWS-IF97 steam tables
science,meteorology,python3-metaconfig,1,Python ConfigParser bootstrapping library (Python3)
science,meteorology,python3-netcdf4,6,Python 3 interface to the netCDF4 (network Common Data Form) library
science,meteorology,python3-openturns,N/A,N/A
science,meteorology,python3-sphere,3,Python3 interface to the spherepack scientific library.
science,meteorology,r-base,46,GNU R statistical computation and graphics system
science,meteorology,sasview,140,Small Angle Scattering Analysis suite
science,meteorology,vistrails,ERROR,Science visualisation workflow toolkit
science,meteorology,xygrib,17,"Weather data visualization,  GRIB file viewer"
science,nanoscale-physics,abinit,36,package for electronic structure calculations
science,nanoscale-physics,ape,N/A,N/A
science,nanoscale-physics,ase,34,Atomic Simulation Environment
science,nanoscale-physics,atompaw,N/A,N/A
science,nanoscale-physics,avogadro,35,Molecular Graphics and Modelling System
science,nanoscale-physics,axiom,ERROR,General purpose computer algebra system: main binary and modules
